,,,,Experiment Summary,,,,,,,,,,,,,,,,,,,,
Experiments,Validation Accuracy,Validation Loss,Macro Precision,Macro Recall,Macro F1-score,Micro Precision,Micro Recall,Micro F1-score,Weighted Precision,Weighted Recall,Weighted F1-score,Completed Epochs,Best Val Loss,Best Val Loss Epoch,Best Val Accuracy,Best Val Accuracy Epoch,Unfreeze Ratio,Backbone Layers Unfrozen,Backbone Layers Frozen,Original Training Samples,Balanced Training Samples,Oversampling Used,Class Weights Used,Backbone Trainable Setup
"Experiment 1 - Frozen ResNet18 Baseline	",0.82263,0.45834,"0.786847	",0.650472,0.700314,0.82263,0.82263,0.82263,0.805056,0.82263,0.805381,20,0.45834,18,0.825688,17,,,,,,,,
Experiment 2 - Partial 30% Fine-Tuning,0.883792,0.27834,0.795062,0.715861,0.749383,0.883792,0.883792,0.883792,0.876079,0.883792,0.876767,45,0.27834,35,0.88685,16,0.3,21,51,,,,,
Experiment 3 - Full Fine-Tuning with Imbalance Handling,0.880734,"0.380294	",0.743649,0.807882,0.763996,0.880734,0.880734,0.880734,0.888092,9,0.8822,9,0.380294,4,0.880734,4,,,,1311,2859,Yes,Yes,100% trainable
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Per Class Summary,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Experiment 1 - Frozen ResNet18 Baseline	",,,,,,,,,,,,,,,,,,,,,,,,
Class,Precision,Recall,"	F1-score",Support,,,,,,,,,,,,,,,,,,,,
Impaired,0.909091,0.625,0.740741,16,,,,,,,,,,,,,,,,,,,,
Mild,0.6,0.375,0.461538,64,,,,,,,,,,,,,,,,,,,,
Normal,0.851449,0.951417,0.898662,247,,,,,,,,,,,,,,,,,,,,
Experiment 2 - Partial 30% Fine-Tuning,,,,,,,,,,,,,,,,,,,,,,,,
Class,Precision,Recall,"	F1-score",Support,,,,,,,,,,,,,,,,,,,,
Impaired,0.692308,0.5625,0.62069,16,,,,,,,,,,,,,,,,,,,,
Mild,0.78,0.609375,0.684211,64,,,,,,,,,,,,,,,,,,,,
Normal,0.912879,0.975709,0.943249,247,,,,,,,,,,,,,,,,,,,,
Experiment 3 - Full Fine-Tuning with Imbalance Handling,,,,,,,,,,,,,,,,,,,,,,,,
Class,Precision,Recall,"	F1-score",Support,,,,,,,,,,,,,,,,,,,,
Impaired,0.52,0.8125,0.634146,16,,,,,,,,,,,,,,,,,,,,
Mild,0.767857,0.671875,0.716667,64,,,,,,,,,,,,,,,,,,,,
Normal,0.943089,0.939271,0.941176,247,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
